id|version|ask|bid|date_scraped|last|open|option_id|stockprice|vol|id|version|name|strike|type
52253|0|0.06|-1|2013-06-04 17:07:38.268|0.01|5|51310|452|5|51310|0|AAPL130817P00215000|215|Put
52254|0|0.06|-1|2013-06-04 17:07:38.276|0.13|3|51312|452|3|51312|0|AAPL130817P00220000|220|Put
52255|0|0.06|-1|2013-06-04 17:07:38.284|0.06|16|51314|452|6|51314|0|AAPL130817P00225000|225|Put
52256|0|0.14|-1|2013-06-04 17:07:38.29|0.12|35|51316|452|14|51316|0|AAPL130817P00230000|230|Put
52257|0|0.15|-1|2013-06-04 17:07:38.296|0.07|15|51318|452|15|51318|0|AAPL130817P00235000|235|Put
52258|0|0.16|-1|2013-06-04 17:07:38.303|0.09|3|51320|452|3|51320|0|AAPL130817P00240000|240|Put
52259|0|0.19|0.01|2013-06-04 17:07:38.31|0.15|70|51322|452|6|51322|0|AAPL130817P00250000|250|Put
52260|0|0.21|-1|2013-06-04 17:07:38.317|0.11|3|51324|452|2|51324|0|AAPL130817P00255000|255|Put
52261|0|0.22|-1|2013-06-04 17:07:38.324|0.12|33|51326|452|1|51326|0|AAPL130817P00260000|260|Put
52262|0|0.24|-1|2013-06-04 17:07:38.331|0.95|33|51328|452|33|51328|0|AAPL130817P00265000|265|Put
52263|0|0.25|0.01|2013-06-04 17:07:38.337|0.59|3|51330|452|1|51330|0|AAPL130817P00270000|270|Put
52264|0|0.21|0.02|2013-06-04 17:07:38.344|1|10|51332|452|10|51332|0|AAPL7130817P00270000|270|Put
52265|0|0.27|0.03|2013-06-04 17:07:38.35|0.14|18|51334|452|18|51334|0|AAPL130817P00275000|275|Put
52266|0|0.25|0.08|2013-06-04 17:07:38.356|0.13|78|51336|452|1|51336|0|AAPL130817P00280000|280|Put
52267|0|0.25|-1|2013-06-04 17:07:38.362|1.39|10|51338|452|10|51338|0|AAPL7130817P00280000|280|Put
52268|0|0.26|0.14|2013-06-04 17:07:38.367|0.21|26|51340|452|1|51340|0|AAPL130817P00285000|285|Put
52269|0|0.24|0.05|2013-06-04 17:07:38.372|1.7|10|51342|452|10|51342|0|AAPL7130817P00285000|285|Put
52270|0|0.34|0.15|2013-06-04 17:07:38.375|0.24|41|51344|452|18|51344|0|AAPL130817P00290000|290|Put
52271|0|0.29|-1|2013-06-04 17:07:38.379|0.2|23|51346|452|1|51346|0|AAPL7130817P00290000|290|Put
52272|0|0.36|0.13|2013-06-04 17:07:38.383|0.67|117|51348|452|2|51348|0|AAPL130817P00295000|295|Put
52273|0|0.41|0.16|2013-06-04 17:07:38.387|0.38|287|51350|452|1|51350|0|AAPL130817P00300000|300|Put
52274|0|0.31|0.15|2013-06-04 17:07:38.39|0.28|2|51352|452|1|51352|0|AAPL7130817P00300000|300|Put
52275|0|0.45|0.2|2013-06-04 17:07:38.393|0.97|60|51354|452|13|51354|0|AAPL130817P00305000|305|Put
52276|0|0.42|0.27|2013-06-04 17:07:38.396|0.4|134|51356|452|1|51356|0|AAPL130817P00310000|310|Put
52277|0|0.44|0.33|2013-06-04 17:07:38.40|0.48|252|51358|452|1|51358|0|AAPL130817P00315000|315|Put
52278|0|0.79|0.26|2013-06-04 17:07:38.403|0.54|12|51360|452|12|51360|0|AAPL7130817P00315000|315|Put
52279|0|0.48|0.39|2013-06-04 17:07:38.406|0.56|185|51362|452|1|51362|0|AAPL130817P00320000|320|Put
52280|0|0.69|0.29|2013-06-04 17:07:38.41|1.15|2|51364|452|1|51364|0|AAPL7130817P00320000|320|Put
52281|0|0.59|0.48|2013-06-04 17:07:38.414|0.5|336|51366|452|60|51366|0|AAPL130817P00325000|325|Put
52282|0|0.6|0.44|2013-06-04 17:07:38.417|1.11|12|51368|452|10|51368|0|AAPL7130817P00325000|325|Put
52283|0|0.63|0.6|2013-06-04 17:07:38.42|0.65|374|51370|452|20|51370|0|AAPL130817P00330000|330|Put
52284|0|0.68|0.55|2013-06-04 17:07:38.424|0.81|12|51372|452|1|51372|0|AAPL7130817P00330000|330|Put
52285|0|0.78|0.68|2013-06-04 17:07:38.428|1.12|450|51374|452|1|51374|0|AAPL130817P00335000|335|Put
52286|0|0.8|0.65|2013-06-04 17:07:38.432|1.5|72|51376|452|10|51376|0|AAPL7130817P00335000|335|Put
52287|0|0.87|0.85|2013-06-04 17:07:38.437|1.04|503|51378|452|2|51378|0|AAPL130817P00340000|340|Put
52288|0|0.92|0.77|2013-06-04 17:07:38.442|0.96|62|51380|452|25|51380|0|AAPL7130817P00340000|340|Put
52289|0|1.05|0.97|2013-06-04 17:07:38.446|1|428|51382|452|5|51382|0|AAPL130817P00345000|345|Put
52290|0|1.08|0.93|2013-06-04 17:07:38.45|1.19|39|51384|452|10|51384|0|AAPL7130817P00345000|345|Put
52291|0|1.21|1.14|2013-06-04 17:07:38.455|1.2|NaN|51386|452|22|51386|0|AAPL130817P00350000|350|Put
52292|0|1.22|1.11|2013-06-04 17:07:38.459|1.56|56|51388|452|21|51388|0|AAPL7130817P00350000|350|Put
52293|0|1.42|1.34|2013-06-04 17:07:38.462|1.71|513|51390|452|10|51390|0|AAPL130817P00355000|355|Put
52294|0|1.42|1.31|2013-06-04 17:07:38.467|1.79|3|51392|452|10|51392|0|AAPL7130817P00355000|355|Put
52295|0|1.68|1.58|2013-06-04 17:07:38.472|1.64|NaN|51394|452|41|51394|0|AAPL130817P00360000|360|Put
52296|0|1.65|1.49|2013-06-04 17:07:38.477|2.48|16|51396|452|4|51396|0|AAPL7130817P00360000|360|Put
52297|0|1.96|1.84|2013-06-04 17:07:38.482|1.94|719|51398|452|4|51398|0|AAPL130817P00365000|365|Put
52298|0|1.94|1.83|2013-06-04 17:07:38.488|2.58|8|51400|452|1|51400|0|AAPL7130817P00365000|365|Put
52299|0|2.28|2.15|2013-06-04 17:07:38.492|2.89|779|51402|452|8|51402|0|AAPL130817P00370000|370|Put
52300|0|2.29|2.12|2013-06-04 17:07:38.499|3.35|40|51404|452|7|51404|0|AAPL7130817P00370000|370|Put
52301|0|2.66|2.52|2013-06-04 17:07:38.503|3.38|675|51406|452|10|51406|0|AAPL130817P00375000|375|Put
52302|0|2.65|2.54|2013-06-04 17:07:38.507|5.85|42|51408|452|1|51408|0|AAPL7130817P00375000|375|Put
52303|0|3.15|3|2013-06-04 17:07:38.512|3.05|NaN|51410|452|20|51410|0|AAPL130817P00380000|380|Put
52304|0|3.2|2.99|2013-06-04 17:07:38.517|5.8|29|51412|452|3|51412|0|AAPL7130817P00380000|380|Put
52305|0|3.65|3.55|2013-06-04 17:07:38.521|4.55|692|51414|452|5|51414|0|AAPL130817P00385000|385|Put
52306|0|3.7|3.5|2013-06-04 17:07:38.524|5.3|17|51416|452|10|51416|0|AAPL7130817P00385000|385|Put
52307|0|4.3|4.1|2013-06-04 17:07:38.528|4.48|NaN|51418|452|25|51418|0|AAPL130817P00390000|390|Put
52308|0|4.3|4.1|2013-06-04 17:07:38.532|5.35|90|51420|452|3|51420|0|AAPL7130817P00390000|390|Put
52309|0|5|4.85|2013-06-04 17:07:38.537|5.55|529|51422|452|16|51422|0|AAPL130817P00395000|395|Put
52310|0|5.05|4.85|2013-06-04 17:07:38.54|13.3|38|51424|452|1|51424|0|AAPL7130817P00395000|395|Put
52311|0|5.85|5.65|2013-06-04 17:07:38.544|5.9|NaN|51426|452|4|51426|0|AAPL130817P00400000|400|Put
52312|0|5.85|5.65|2013-06-04 17:07:38.548|7.4|249|51428|452|6|51428|0|AAPL7130817P00400000|400|Put
52313|0|6.8|6.6|2013-06-04 17:07:38.551|7.95|550|51430|452|58|51430|0|AAPL130817P00405000|405|Put
52314|0|6.85|6.6|2013-06-04 17:07:38.554|7.05|27|51432|452|1|51432|0|AAPL7130817P00405000|405|Put
52315|0|7.85|7.7|2013-06-04 17:07:38.558|8.35|NaN|51434|452|30|51434|0|AAPL130817P00410000|410|Put
52316|0|7.9|7.65|2013-06-04 17:07:38.561|9.5|64|51436|452|14|51436|0|AAPL7130817P00410000|410|Put
52317|0|9.1|8.9|2013-06-04 17:07:38.567|9.15|869|51438|452|8|51438|0|AAPL130817P00415000|415|Put
52318|0|9.15|8.9|2013-06-04 17:07:38.571|11.8|31|51440|452|2|51440|0|AAPL7130817P00415000|415|Put
52319|0|10.5|10.25|2013-06-04 17:07:38.575|10.65|NaN|51442|452|4|51442|0|AAPL130817P00420000|420|Put
52320|0|10.5|10.25|2013-06-04 17:07:38.578|12.8|125|51444|452|35|51444|0|AAPL7130817P00420000|420|Put
52321|0|12.05|11.8|2013-06-04 17:07:38.582|12.2|NaN|51446|452|22|51446|0|AAPL130817P00425000|425|Put
52322|0|12|11.75|2013-06-04 17:07:38.586|12.25|195|51448|452|1|51448|0|AAPL7130817P00425000|425|Put
52323|0|13.75|13.5|2013-06-04 17:07:38.589|14.1|NaN|51450|452|100|51450|0|AAPL130817P00430000|430|Put
52324|0|13.75|13.5|2013-06-04 17:07:38.593|14.1|NaN|51452|452|49|51452|0|AAPL7130817P00430000|430|Put
52325|0|15.6|15.35|2013-06-04 17:07:38.596|16.05|712|51454|452|8|51454|0|AAPL130817P00435000|435|Put
52326|0|15.5|15.3|2013-06-04 17:07:38.60|15.35|38|51456|452|7|51456|0|AAPL7130817P00435000|435|Put
52327|0|17.6|17.4|2013-06-04 17:07:38.604|17.9|NaN|51458|452|22|51458|0|AAPL130817P00440000|440|Put
52328|0|17.65|17.4|2013-06-04 17:07:38.607|21.1|74|51460|452|14|51460|0|AAPL7130817P00440000|440|Put
52329|0|19.9|19.7|2013-06-04 17:07:38.611|23.55|994|51462|452|30|51462|0|AAPL130817P00445000|445|Put
52330|0|19.85|19.5|2013-06-04 17:07:38.616|21.5|14|51464|452|4|51464|0|AAPL7130817P00445000|445|Put
52331|0|22.2|21.95|2013-06-04 17:07:38.62|22.66|NaN|51466|452|7|51466|0|AAPL130817P00450000|450|Put
52332|0|22.3|22|2013-06-04 17:07:38.623|23.5|76|51468|452|2|51468|0|AAPL7130817P00450000|450|Put
52333|0|24.8|24.5|2013-06-04 17:07:38.627|24.66|489|51470|452|5|51470|0|AAPL130817P00455000|455|Put
52334|0|24.8|24.5|2013-06-04 17:07:38.631|29.5|6|51472|452|5|51472|0|AAPL7130817P00455000|455|Put
52335|0|27.5|27.15|2013-06-04 17:07:38.635|31.5|557|51474|452|22|51474|0|AAPL130817P00460000|460|Put
52336|0|27.55|27.2|2013-06-04 17:07:38.639|34.05|41|51476|452|35|51476|0|AAPL7130817P00460000|460|Put
52337|0|30.6|30.3|2013-06-04 17:07:38.643|36|485|51478|452|6|51478|0|AAPL130817P00465000|465|Put
52339|0|30.55|30.25|2013-06-04 17:07:38.697|35.45|3|52338|452|3|52338|0|AAPL7130817P00465000|465|Put
52340|0|33.55|33.25|2013-06-04 17:07:38.701|37.06|181|51480|452|11|51480|0|AAPL130817P00470000|470|Put
52341|0|33.55|33.2|2013-06-04 17:07:38.704|39.4|54|51482|452|18|51482|0|AAPL7130817P00470000|470|Put
52342|0|36.85|36.45|2013-06-04 17:07:38.707|39.45|302|51484|452|2|51484|0|AAPL130817P00475000|475|Put
52344|0|37|36.65|2013-06-04 17:07:38.716|43|7|52343|452|7|52343|0|AAPL7130817P00475000|475|Put
52345|0|40.4|40.05|2013-06-04 17:07:38.72|38.7|166|51486|452|10|51486|0|AAPL130817P00480000|480|Put
52346|0|40.4|39.85|2013-06-04 17:07:38.723|47.65|17|51488|452|6|51488|0|AAPL7130817P00480000|480|Put
